RSK_ELMN_NM,RSK_ELMN_GRD,RN_1HR,AIRTP,LOT,LAT,LOTNO_ADDR,ROAD_NM_ADDR
SF20313,L,3,-1,126.9613785302,37.6869754605,경기 고양시 덕양구 지축동 산 7-10,
SF20313,L,3,-1,126.7488939855,37.645079656,경기 고양시 일산동구 장항동 502-142,
SF20313,L,3,-1,126.7606852268,37.6393702905,경기 고양시 일산동구 장항동 537-121,
SF20313,L,3,-1,126.7590878368,37.6414727265,경기 고양시 일산동구 장항동 542-6,
SF20313,L,3,-1,126.7573493784,37.6390450493,경기 고양시 일산동구 장항동 537-43,경기도 고양시 일산동구 장대들길 384-4
SF20311,J,.5,-5,128.3020276296,35.024218894,경남 고성군 대가면 유흥리 445-2,경상남도 고성군 고성읍 대가로 555
SF20313,L,3,-1,126.7303113092,36.2891816676,충남 부여군 내산면 지티리 430-3,충청남도 부여군 외산면 성충로 344  성충로 344
SF20313,L,3,-1,129.021298679,37.631676005,강원특별자치도 강릉시 옥계면 낙풍리 산 88-5,
SF20313,L,3,-1,129.166094922,37.4568355825,강원특별자치도 삼척시 교동 산 244-2,
SF20313,L,3,-1,129.1882080914,37.4519130255,강원특별자치도 삼척시 교동 산 79-3,
SF20311,F,.5,3,129.0231610647,35.6085695746,경남 밀양시 산내면 삼양리 산 1-3,울산광역시 울주군 상북면 석남로 24 명화상회
SF20313,L,3,-1,126.8568010554,37.512089535,서울 양천구 신정동 620-2,
SF20313,L,3,-1,126.8488845725,37.5278754415,서울 양천구 신정동 1060,
SF20313,L,3,-1,126.8803745926,37.516551485,서울 구로구 신도림동 271-87,
SF20313,L,3,-1,126.8845230601,37.4991692505,서울 구로구 구로동 496-128,
SF20313,L,3,-1,126.8802558638,37.4879738959,서울 구로구 구로동 390-5,
SF20313,L,3,-1,126.8868928489,37.4975673665,서울 구로구 구로동 442-6,
SF20313,L,3,-1,126.882491817,37.492737058,서울 구로구 구로동 414-13,
SF20313,L,3,-1,126.8812607157,37.5017300782,서울 구로구 구로동 584-4,
SF20313,L,3,-1,126.8864746773,37.505782957,서울 구로구 구로동 3-72,
SF20313,L,3,-1,126.8690250975,37.500167501,서울 구로구 고척동 60-19,
SF20313,L,3,-1,126.8560477223,37.5045978544,서울 구로구 고척동 307,
SF20313,L,3,-1,126.8497249345,37.5075773434,서울 구로구 고척동 233-19,
SF20313,L,3,-1,126.8562471949,37.4947006171,서울 구로구 개봉동 403-10,
SF20313,L,3,-1,126.8778085959,37.476308283,서울 금천구 가산동 547-52,
SF20313,L,4,-1,126.8984437976,37.5112544889,서울 영등포구 도림동 187-1,
SF20313,L,4,-1,126.911843011,37.508019092,서울 영등포구 신길동 223-50,
SF20313,L,4,-1,126.9164630657,37.5056048157,서울 영등포구 신길동 143-49,
SF20313,L,4,-1,126.91600959,37.5044742929,서울 영등포구 신길동 1769-1,
SF20313,L,4,-1,126.9443809953,37.5150447837,서울 동작구 노량진동 12-5,
SF20313,L,4,-1,126.9479338481,37.5076389189,서울 동작구 노량진동 215-179,
SF20313,L,4,-1,126.9482816498,37.5081772179,서울 동작구 노량진동 323-1,
SF20313,L,4,-1,126.9434135786,37.494456996,서울 동작구 상도동 214-114,
SF20313,L,4,-1,126.944799152,37.5003247431,서울 동작구 상도동 204-336,
SF20313,L,4,-1,126.939494791,37.5035811449,서울 동작구 상도동 181-62,서울특별시 동작구 장승배기로 65 
